,PC1,PC2,PC3,PC4,PC5,PC6
wbgt_p95,0.14108716,-0.02168698,0.004513,-3.9667484e-05,0.0009671045,-0.00076048955
wbgt_pct_moderate,0.11778537,0.02183096,-0.07642198,0.0185159,-0.01446701,0.018787017
wbgt_pct_high,0.035728708,0.04826757,-0.05773708,0.023215154,-0.07226071,0.10258853
flood_hotspot_nearest_m,0.09738342,-0.08766545,0.060216956,-0.040866334,0.04683937,-0.054810543
reit_pa_median_psm,0.0,-0.0,-0.0,0.0,0.0,0.0
has_location_data,0.14107129,-0.024327563,0.007963252,-0.0012246671,0.0024409443,-0.0019373322
has_goods_lift,0.00577243,0.013062892,0.079956114,0.44029468,0.051886793,-0.05885463
has_loading_bay,0.006256233,0.013390617,0.081486985,0.44070303,0.06273772,-0.056023758
loading_bay_count,0.005610899,0.008785565,0.06326232,0.41381368,0.05978495,-0.046307947
parking_car_lots,0.0024340788,0.007844727,0.05852196,0.3677842,0.04483779,-0.044428594
goods_lift_tonnage,0.0076648057,0.017592816,0.08951331,0.42560562,0.050260276,-0.060401402
gm_level,0.0014059158,0.012283871,0.0038312639,0.11185042,-0.26964486,0.09801271
ev_count_3km_drive,0.109502554,0.10551741,-0.10143058,0.03474692,-0.027167479,0.06587926
bp_racks_1km_walk,0.02484672,0.15676148,0.3017702,-0.068961084,-0.014395713,-0.050436955
has_amenity_data,0.00020424227,0.017067017,0.025392797,0.20639075,-0.24800819,0.07187283
